ksp_type,pc_type,response
cg,bjacobi,98.22
cg,jacobi,40.73
cg,sor,124.55
cg,mg,134.36
gmres,bjacobi,166.35
gmres,jacobi,194.81
gmres,sor,250.18
gmres,mg,188.00
fcg,bjacobi,105.37
fcg,jacobi,44.03
fcg,sor,131.11
fcg,mg,138.50
tcqmr,bjacobi,713.84
tcqmr,jacobi,314.19
tcqmr,sor,390.60
tcqmr,mg,361.43
cgs,bjacobi,39.59
cgs,jacobi,904.63
cgs,sor,57.04
cgs,mg,156.64
bcgs,bjacobi,116.88
bcgs,jacobi,63.97
bcgs,sor,153.00
bcgs,mg,168.90
tfqmr,bjacobi,115.46
tfqmr,jacobi,920.55
tfqmr,sor,149.88
tfqmr,mg,152.72
cr,bjacobi,97.71
cr,jacobi,40.78
cr,sor,120.93
cr,mg,134.54
gcr,bjacobi,132.25
gcr,jacobi,175.32
cg,bjacobi,97.81
cg,jacobi,41.54
cg,sor,124.07
cg,mg,134.36
gmres,bjacobi,166.08
gmres,jacobi,196.99
gmres,sor,249.11
gmres,mg,188.25
fcg,bjacobi,105.48
fcg,jacobi,43.45
fcg,sor,131.41
fcg,mg,138.55
tcqmr,bjacobi,309.55
tcqmr,jacobi,1368.20
tcqmr,sor,372.54
tcqmr,mg,361.77
cgs,bjacobi,39.69
cgs,jacobi,861.58
cgs,sor,56.44
cgs,mg,155.33
bcgs,bjacobi,113.60
bcgs,jacobi,64.55
bcgs,sor,143.07
bcgs,mg,171.80
tfqmr,bjacobi,116.30
tfqmr,jacobi,412.43
tfqmr,sor,149.47
tfqmr,mg,152.42
cr,bjacobi,98.26
cr,jacobi,41.33
cr,sor,122.11
cr,mg,133.32
gcr,bjacobi,132.56
cg,bjacobi,99.11
cg,jacobi,41.68
cg,sor,123.51
cg,mg,133.96
gmres,bjacobi,166.62
gmres,jacobi,197.31
gmres,sor,248.50
gmres,mg,188.26
fcg,bjacobi,105.46
fcg,jacobi,43.57
fcg,sor,131.16
fcg,mg,138.80
tcqmr,bjacobi,375.72
tcqmr,jacobi,174.72
tcqmr,sor,399.69
tcqmr,mg,360.99
cgs,bjacobi,38.83
cgs,jacobi,180.65
cgs,sor,56.43
cgs,mg,156.06
bcgs,bjacobi,112.84
bcgs,jacobi,58.72
bcgs,sor,145.89
bcgs,mg,162.70
tfqmr,bjacobi,118.45
tfqmr,jacobi,455.90
tfqmr,sor,152.98
tfqmr,mg,153.15
cr,bjacobi,97.67
cr,jacobi,41.77
cr,sor,120.37
cr,mg,134.57
gcr,bjacobi,133.21
gcr,jacobi,174.10
gcr,sor,189.27
gcr,mg,143.38
cg,bjacobi,98.34
cg,jacobi,41.26
cg,sor,123.64
cg,mg,134.28
gmres,bjacobi,166.12
gmres,jacobi,195.13
gmres,sor,247.67
gmres,mg,188.19
fcg,bjacobi,104.62
fcg,jacobi,43.29
fcg,sor,130.42
fcg,mg,139.86
