ksp_type,pc_type,response,min1,min5,min15,proc
cg,icc,28.458,1.72,1.27,1.19,3/3463
gmres,icc,342.69,2.15,1.9,1.5,3/3463
fcg,icc,38.399,2.96,2.14,1.6,2/3465
tcqmr,icc,103.78,2.0,2.05,1.63,1/3457
cgs,icc,43.212,1.89,2.01,1.64,3/3457
bcgs,icc,38.613,1.76,1.96,1.64,2/3458
tfqmr,icc,42.559,1.95,1.98,1.66,1/3456
cr,icc,25.555,1.68,1.92,1.64,1/3457
gcr,icc,1010.7,2.41,2.64,2.39,1/3452
cg,jacobi,38.259,2.5,2.65,2.4,2/3452
gmres,jacobi,226.55,1.73,2.11,2.23,1/3453
fcg,jacobi,70.256,1.95,2.1,2.21,2/3453
tcqmr,jacobi,229.01,3.04,2.3,2.24,1/3457
cgs,jacobi,68.753,3.18,2.51,2.32,2/3457
bcgs,jacobi,55.091,3.03,2.59,2.36,1/3459
tfqmr,jacobi,65.893,2.38,2.51,2.35,5/3458
cr,jacobi,34.516,2.14,2.43,2.33,3/3458
gcr,jacobi,1325.8,2.75,2.76,2.64,3/3452
cg,sor,32.98,2.47,2.69,2.62,1/3450
gmres,sor,500.23,2.49,2.36,2.44,2/3449
fcg,sor,46.259,2.3,2.35,2.43,1/3451
tcqmr,sor,129.18,2.24,2.41,2.45,1/3454
cgs,sor,48.43,2.24,2.38,2.44,3/3453
bcgs,sor,50.238,2.37,2.36,2.43,1/3456
tfqmr,sor,48.287,2.24,2.33,2.41,3/3453
cr,sor,32.008,1.75,2.2,2.36,1/3453
gcr,sor,1406.9,2.27,2.67,2.61,2/3451
cg,mg,41.137,1.68,2.47,2.54,1/3452
gmres,mg,370.2,2.34,2.22,2.4,2/3453
fcg,mg,47.494,2.21,2.22,2.38,2/3452
tcqmr,mg,156.38,3.72,2.58,2.47,1/3452
cgs,mg,60.317,2.24,2.36,2.4,2/3452
bcgs,mg,60.235,1.88,2.27,2.37,1/3448
tfqmr,mg,60.837,1.75,2.14,2.32,2/3448
cr,mg,41.567,1.91,2.15,2.31,3/3449
gcr,mg,620.4,2.32,2.45,2.45,2/3458
cg,icc,27.704,2.59,2.5,2.46,1/3455
gmres,icc,345.25,1.85,2.01,2.24,2/3453
fcg,icc,39.374,1.56,1.92,2.19,3/3450
tcqmr,icc,104.7,2.3,2.22,2.28,3/3451
cgs,icc,42.966,1.92,2.14,2.25,1/3452
bcgs,icc,39.163,1.83,2.09,2.23,1/3454
tfqmr,icc,42.142,1.62,2.0,2.19,3/3453
cr,icc,25.589,1.53,1.95,2.16,2/3451
gcr,icc,1013.9,2.66,2.75,2.59,1/3452
cg,jacobi,37.925,2.38,2.66,2.56,4/3456
gmres,jacobi,229.15,1.82,2.38,2.49,1/3462
