ksp_type,pc_type,response,min1,min5,min15,proc
cg,bjacobi,4.7044,6.58,2.23,1.39,2/3447
gmres,bjacobi,75.751,31.62,11.17,4.59,1/3444
fcg,bjacobi,8.2214,33.03,12.46,5.12,1/3445
tcqmr,bjacobi,21.665,35.23,14.9,6.16,2/3445
cgs,bjacobi,7.0632,35.3,15.89,6.63,2/3448
bcgs,bjacobi,6.5332,33.6,16.47,6.97,2/3453
tfqmr,bjacobi,7.2697,33.97,17.39,7.42,3/3459
cr,bjacobi,4.2798,33.42,17.81,7.66,1/3449
gcr,bjacobi,103.12,39.66,24.74,11.3,2/3450
cg,jacobi,7.2267,38.69,25.23,11.67,2/3450
gmres,jacobi,86.043,38.87,29.06,14.37,3/3446
fcg,jacobi,17.386,36.94,29.41,14.87,2/3447
tcqmr,jacobi,132.98,38.85,33.21,18.34,1/3444
cgs,jacobi,13.652,38.08,33.36,18.7,1/3444
bcgs,jacobi,12.105,35.92,33.18,18.96,2/3446
tfqmr,jacobi,14.853,36.39,33.43,19.34,1/3444
cr,jacobi,7.9975,36.15,33.5,19.59,3/3444
gcr,jacobi,117.07,40.03,35.78,22.17,1/3440
cg,sor,5.9974,37.59,35.45,22.28,1/3443
gmres,sor,125.77,40.11,37.11,24.61,2/3441
fcg,sor,9.596,38.32,36.86,24.8,2/3441
tcqmr,sor,90.084,40.3,37.91,26.34,1/3445
cgs,sor,9.6047,37.52,37.43,26.43,2/3444
bcgs,sor,9.0215,36.85,37.27,26.55,1/3446
tfqmr,sor,9.3649,36.41,37.13,26.68,3/3448
cr,sor,6.1608,36.48,37.08,26.83,3/3446
gcr,sor,104.06,40.37,38.41,28.46,2/3448
cg,mg,6.4517,39.17,38.21,28.56,2/3446
gmres,mg,66.443,38.72,38.35,29.36,1/3445
fcg,mg,8.6693,38.17,38.23,29.46,2/3445
tcqmr,mg,25.903,36.87,37.9,29.68,1/3446
cgs,mg,9.6628,36.5,37.75,29.76,1/3446
bcgs,mg,10.146,34.71,37.27,29.77,2/3447
tfqmr,mg,9.8463,34.61,37.1,29.83,4/3445
cr,mg,6.9007,34.6,36.95,29.9,4/3443
gcr,mg,78.24,39.23,37.77,30.8,2/3443
cg,bjacobi,4.4507,35.85,37.04,30.67,5/3443
gmres,bjacobi,74.228,39.28,37.78,31.45,6/3442
fcg,bjacobi,7.986,38.23,37.6,31.5,1/3444
tcqmr,bjacobi,21.459,38.17,37.61,31.69,1/3444
cgs,bjacobi,6.9298,37.68,37.5,31.75,1/3445
bcgs,bjacobi,6.3866,35.31,36.99,31.67,2/3445
tfqmr,bjacobi,7.6009,33.7,36.55,31.61,1/3445
cr,bjacobi,4.2705,33.35,36.37,31.61,7/3445
gcr,bjacobi,102.9,39.34,37.53,32.55,2/3445
cg,jacobi,7.2322,38.13,37.33,32.57,2/3445
gmres,jacobi,86.639,44.26,39.16,33.65,22/3510
fcg,jacobi,21.959,51.03,41.31,34.54,39/3554
tcqmr,jacobi,389.99,128.35,106.32,67.68,91/3693
cgs,jacobi,86.309,125.3,114.78,78.19,89/3692
bcgs,jacobi,80.105,127.81,120.38,86.89,81/3696
tfqmr,jacobi,87.805,127.04,123.04,94.03,70/3699
cr,jacobi,58.595,123.47,122.45,98.45,89/3693
gcr,jacobi,428.44,130.92,132.24,113.71,96/3692
cg,sor,37.74,123.07,127.49,114.45,93/3702
gmres,sor,385.12,127.8,132.52,122.24,83/3701
fcg,sor,46.086,118.83,126.64,121.51,68/3694
tcqmr,sor,383.24,129.6,132.76,126.59,92/3691
cgs,sor,41.937,119.49,127.09,125.3,89/3702
bcgs,sor,38.522,118.81,123.71,124.25,82/3697
tfqmr,sor,40.08,119.16,121.86,123.43,76/3697
cr,sor,29.913,117.45,119.94,122.47,86/3702
gcr,sor,342.64,129.88,130.62,126.56,99/3698
cg,mg,27.087,116.19,124.75,124.89,86/3703
gmres,mg,182.73,125.99,126.76,125.54,85/3693
fcg,mg,31.488,120.85,123.55,124.44,77/3695
tcqmr,mg,83.918,122.45,122.8,123.87,90/3698
cgs,mg,32.229,119.46,121.06,123.04,86/3699
bcgs,mg,35.427,119.73,119.86,122.23,89/3697
tfqmr,mg,32.368,116.3,118.21,121.26,87/3700
cr,mg,23.651,119.76,118.67,121.01,86/3696
gcr,mg,229.49,124.84,125.72,123.33,90/3693
cg,bjacobi,32.423,116.46,121.47,122.02,95/3695
gmres,bjacobi,245.88,128.09,128.07,124.64,98/3698
fcg,bjacobi,42.837,120.03,124.01,123.54,100/3698
tcqmr,bjacobi,108.24,124.59,124.63,123.79,82/3695
cgs,bjacobi,33.961,119.2,121.72,122.75,86/3696
bcgs,bjacobi,32.497,118.9,120.12,121.96,87/3699
tfqmr,bjacobi,35.079,118.69,119.43,121.4,86/3689
