ksp_type,pc_type,response
cg,jacobi,37.947
gmres,jacobi,231.99
fcg,jacobi,70.034
tcqmr,jacobi,238.19
cgs,jacobi,68.173
bcgs,jacobi,56.749
tfqmr,jacobi,66.341
cr,jacobi,34.973
gcr,jacobi,1344.8
cg,sor,34.377
gmres,sor,518.98
fcg,sor,46.074
tcqmr,sor,132.51
cgs,sor,49.499
bcgs,sor,49.996
tfqmr,sor,47.433
cr,sor,32.861
gcr,sor,1418.8
cg,mg,42.57
gmres,mg,379.77
fcg,mg,48.99
tcqmr,mg,155.08
cgs,mg,63.755
bcgs,mg,62.696
tfqmr,mg,60.371
cr,mg,40.912
gcr,mg,635.3
cg,jacobi,37.454
gmres,jacobi,232.7
fcg,jacobi,71.545
tcqmr,jacobi,239.43
cgs,jacobi,67.537
bcgs,jacobi,57.207
tfqmr,jacobi,65.768
cr,jacobi,35.882
gcr,jacobi,1341.8
cg,sor,33.269
gmres,sor,507.66
fcg,sor,47.068
tcqmr,sor,132.95
cgs,sor,49.596
bcgs,sor,51.553
tfqmr,sor,49.103
cr,sor,32.498
gcr,sor,1425.8
cg,mg,43.853
gmres,mg,379.12
fcg,mg,48.715
tcqmr,mg,159.85
cgs,mg,60.937
bcgs,mg,61.865
tfqmr,mg,60.425
cr,mg,41.074
gcr,mg,639.55
cg,jacobi,38.199
gmres,jacobi,232.73
fcg,jacobi,72.382
tcqmr,jacobi,233.75
cgs,jacobi,67.658
bcgs,jacobi,56.701
tfqmr,jacobi,65.476
cr,jacobi,35.803
gcr,jacobi,1351.3
cg,sor,35.896
gmres,sor,535.87
fcg,sor,49.5
tcqmr,sor,133.51
cgs,sor,51.785
bcgs,sor,49.436
tfqmr,sor,46.922
cr,sor,33.292
gcr,sor,1429.0
cg,mg,41.926
gmres,mg,379.3
fcg,mg,48.685
tcqmr,mg,154.65
cgs,mg,61.742
bcgs,mg,63.645
tfqmr,mg,60.649
cr,mg,41.237
gcr,mg,630.61
cg,jacobi,37.864
gmres,jacobi,234.75
fcg,jacobi,71.616
tcqmr,jacobi,242.24
cgs,jacobi,68.53
bcgs,jacobi,58.191
tfqmr,jacobi,67.355
cr,jacobi,36.25
gcr,jacobi,1340.7
cg,sor,33.398
gmres,sor,517.82
fcg,sor,47.041
tcqmr,sor,128.99
cgs,sor,52.556
bcgs,sor,52.16
tfqmr,sor,48.807
cr,sor,33.984
gcr,sor,1418.6
cg,mg,41.531
gmres,mg,380.32
fcg,mg,48.716
tcqmr,mg,160.61
cgs,mg,63.288
bcgs,mg,61.97
tfqmr,mg,60.738
cr,mg,40.952
gcr,mg,631.99
cg,jacobi,38.551
gmres,jacobi,225.93
fcg,jacobi,70.119
tcqmr,jacobi,242.19
cgs,jacobi,71.15
bcgs,jacobi,56.927
tfqmr,jacobi,67.759
cr,jacobi,37.151
gcr,jacobi,1343.7
cg,sor,33.412
gmres,sor,512.37
fcg,sor,47.413
tcqmr,sor,131.06
cgs,sor,49.417
bcgs,sor,49.724
tfqmr,sor,47.268
cr,sor,33.881
gcr,sor,1430.0
cg,mg,41.807
gmres,mg,377.4
fcg,mg,49.46
tcqmr,mg,159.76
cgs,mg,64.296
bcgs,mg,63.457
tfqmr,mg,62.652
cr,mg,42.49
gcr,mg,633.47
cg,jacobi,37.257
gmres,jacobi,225.11
fcg,jacobi,70.036
tcqmr,jacobi,238.06
cgs,jacobi,67.688
