ksp_type,pc_type,response
cg,jacobi,7.8194
gmres,jacobi,87.948
fcg,jacobi,16.872
tcqmr,jacobi,133.41
cgs,jacobi,13.716
bcgs,jacobi,12.205
tfqmr,jacobi,15.718
cr,jacobi,7.6476
gcr,jacobi,117.83
cg,sor,6.1944
gmres,sor,125.38
fcg,sor,9.6509
tcqmr,sor,90.248
cgs,sor,10.41
bcgs,sor,8.4811
tfqmr,sor,9.902
cr,sor,5.919
gcr,sor,105.93
cg,bjacobi,4.8842
gmres,bjacobi,75.743
fcg,bjacobi,8.6018
tcqmr,bjacobi,23.248
cgs,bjacobi,7.0779
bcgs,bjacobi,6.7061
tfqmr,bjacobi,7.4412
cr,bjacobi,4.5217
gcr,bjacobi,104.58
cg,mg,6.738
gmres,mg,66.529
fcg,mg,8.7634
tcqmr,mg,24.689
cgs,mg,10.013
bcgs,mg,10.337
tfqmr,mg,9.8946
cr,mg,6.7541
gcr,mg,78.616
cg,jacobi,7.8936
gmres,jacobi,86.993
fcg,jacobi,18.544
tcqmr,jacobi,134.08
cgs,jacobi,13.703
bcgs,jacobi,12.265
tfqmr,jacobi,15.933
cr,jacobi,7.676
gcr,jacobi,117.31
cg,sor,6.0489
gmres,sor,127.68
fcg,sor,9.6464
tcqmr,sor,91.776
cgs,sor,9.9142
bcgs,sor,8.9893
tfqmr,sor,10.311
cr,sor,6.0891
gcr,sor,105.65
cg,bjacobi,4.7578
gmres,bjacobi,75.242
fcg,bjacobi,8.1325
tcqmr,bjacobi,22.416
cgs,bjacobi,7.6613
bcgs,bjacobi,6.5888
tfqmr,bjacobi,7.6474
cr,bjacobi,4.3411
gcr,bjacobi,104.52
cg,mg,6.5571
gmres,mg,66.959
fcg,mg,9.5372
tcqmr,mg,24.666
cgs,mg,9.7159
bcgs,mg,10.781
tfqmr,mg,10.297
cr,mg,6.6506
gcr,mg,78.768
cg,jacobi,7.303
gmres,jacobi,86.191
fcg,jacobi,16.956
tcqmr,jacobi,134.3
cgs,jacobi,14.147
bcgs,jacobi,12.325
tfqmr,jacobi,15.578
cr,jacobi,7.7545
gcr,jacobi,118.11
cg,sor,5.764
gmres,sor,125.24
fcg,sor,9.8385
tcqmr,sor,92.119
cgs,sor,9.5785
bcgs,sor,8.6016
tfqmr,sor,9.3642
cr,sor,6.618
gcr,sor,109.9
cg,bjacobi,4.7493
gmres,bjacobi,77.464
fcg,bjacobi,8.6423
tcqmr,bjacobi,23.016
cgs,bjacobi,7.6653
bcgs,bjacobi,7.19
tfqmr,bjacobi,7.932
cr,bjacobi,4.3558
gcr,bjacobi,104.79
cg,mg,6.4799
gmres,mg,67.977
fcg,mg,9.1655
tcqmr,mg,25.372
cgs,mg,9.7864
bcgs,mg,10.739
tfqmr,mg,9.7582
cr,mg,6.6562
gcr,mg,80.786
cg,jacobi,7.2883
gmres,jacobi,85.973
fcg,jacobi,16.918
tcqmr,jacobi,139.42
cgs,jacobi,13.683
bcgs,jacobi,12.637
tfqmr,jacobi,16.002
cr,jacobi,7.6909
gcr,jacobi,117.05
cg,sor,5.9914
gmres,sor,127.05
fcg,sor,10.531
tcqmr,sor,91.847
cgs,sor,9.5795
bcgs,sor,8.5764
tfqmr,sor,9.3716
cr,sor,5.9419
gcr,sor,104.82
cg,bjacobi,4.5974
gmres,bjacobi,78.911
fcg,bjacobi,8.3912
tcqmr,bjacobi,21.94
cgs,bjacobi,7.5197
bcgs,bjacobi,6.8079
tfqmr,bjacobi,7.4093
cr,bjacobi,4.4708
gcr,bjacobi,105.4
cg,mg,6.7755
gmres,mg,67.192
fcg,mg,9.3279
tcqmr,mg,24.756
cgs,mg,9.6707
bcgs,mg,10.285
tfqmr,mg,10.185
cr,mg,6.6299
gcr,mg,78.941
cg,jacobi,7.6017
gmres,jacobi,86.824
fcg,jacobi,17.21
tcqmr,jacobi,135.02
cgs,jacobi,13.735
bcgs,jacobi,12.765
tfqmr,jacobi,16.634
cr,jacobi,8.0815
gcr,jacobi,117.21
cg,sor,5.7166
gmres,sor,126.61
