ksp_type,pc_type,response
cg,bjacobi,2.15
cg,jacobi,3.17
cg,sor,2.63
cg,mg,3.09
gmres,bjacobi,27.02
gmres,jacobi,31.89
gmres,sor,47.20
gmres,mg,25.17
fcg,bjacobi,3.31
fcg,jacobi,6.52
fcg,sor,3.97
fcg,mg,3.79
tcqmr,bjacobi,14.00
tcqmr,jacobi,34.10
tcqmr,sor,10.32
tcqmr,mg,9.54
cgs,bjacobi,3.04
cgs,jacobi,5.40
cgs,sor,3.69
cgs,mg,4.23
bcgs,bjacobi,3.02
bcgs,jacobi,4.94
bcgs,sor,3.65
bcgs,mg,4.39
tfqmr,bjacobi,3.17
tfqmr,jacobi,5.96
tfqmr,sor,3.92
tfqmr,mg,4.28
cr,bjacobi,2.06
cr,jacobi,3.28
cr,sor,2.61
cr,mg,3.05
gcr,bjacobi,39.11
gcr,jacobi,43.31
gcr,sor,40.64
gcr,mg,29.84
cg,bjacobi,2.23
cg,jacobi,3.26
cg,sor,2.49
cg,mg,2.99
gmres,bjacobi,27.02
gmres,jacobi,31.87
gmres,sor,46.87
gmres,mg,25.11
fcg,bjacobi,3.35
fcg,jacobi,6.40
fcg,sor,3.93
fcg,mg,3.78
tcqmr,bjacobi,14.03
tcqmr,jacobi,33.76
tcqmr,sor,10.03
tcqmr,mg,9.67
cgs,bjacobi,3.02
cgs,jacobi,5.56
cgs,sor,3.77
cgs,mg,4.35
bcgs,bjacobi,3.02
bcgs,jacobi,5.14
bcgs,sor,3.57
bcgs,mg,4.45
tfqmr,bjacobi,3.13
tfqmr,jacobi,5.75
tfqmr,sor,3.86
tfqmr,mg,4.45
cr,bjacobi,2.09
cr,jacobi,3.24
cr,sor,2.69
cr,mg,3.10
gcr,bjacobi,38.77
gcr,jacobi,42.58
gcr,sor,40.09
gcr,mg,30.14
cg,bjacobi,2.11
cg,jacobi,3.13
cg,sor,2.53
cg,mg,3.01
gmres,bjacobi,26.91
gmres,jacobi,31.74
gmres,sor,47.27
gmres,mg,25.03
fcg,bjacobi,3.33
fcg,jacobi,6.39
fcg,sor,3.92
fcg,mg,3.82
tcqmr,bjacobi,14.03
tcqmr,jacobi,33.97
tcqmr,sor,10.05
tcqmr,mg,9.67
cgs,bjacobi,3.12
cgs,jacobi,5.38
cgs,sor,3.69
cgs,mg,4.21
bcgs,bjacobi,3.05
bcgs,jacobi,4.98
bcgs,sor,3.70
bcgs,mg,4.41
tfqmr,bjacobi,3.18
tfqmr,jacobi,5.86
tfqmr,sor,3.86
tfqmr,mg,4.37
cr,bjacobi,2.01
cr,jacobi,3.23
cr,sor,2.57
cr,mg,3.08
gcr,bjacobi,38.75
gcr,jacobi,42.52
gcr,sor,40.26
gcr,mg,29.51
cg,bjacobi,2.18
cg,jacobi,3.14
cg,sor,2.54
cg,mg,3.03
gmres,bjacobi,26.77
gmres,jacobi,31.74
gmres,sor,46.67
gmres,mg,24.92
fcg,bjacobi,3.30
fcg,jacobi,6.28
fcg,sor,3.95
fcg,mg,3.81
tcqmr,bjacobi,14.02
tcqmr,jacobi,33.57
tcqmr,sor,9.96
tcqmr,mg,9.55
cgs,bjacobi,3.04
cgs,jacobi,5.42
cgs,sor,3.80
cgs,mg,4.23
bcgs,bjacobi,2.95
bcgs,jacobi,5.09
bcgs,sor,3.60
bcgs,mg,4.56
tfqmr,bjacobi,3.10
tfqmr,jacobi,5.85
tfqmr,sor,3.92
tfqmr,mg,4.16
cr,bjacobi,2.01
cr,jacobi,3.17
cr,sor,2.60
cr,mg,3.07
gcr,bjacobi,38.50
gcr,jacobi,42.22
gcr,sor,39.78
gcr,mg,29.27
cg,bjacobi,2.15
cg,jacobi,3.22
cg,sor,2.69
cg,mg,3.12
gmres,bjacobi,28.53
gmres,jacobi,33.16
gmres,sor,49.01
gmres,mg,26.81
fcg,bjacobi,3.38
fcg,jacobi,6.60
fcg,sor,4.08
fcg,mg,3.82
tcqmr,bjacobi,14.37
tcqmr,jacobi,35.12
tcqmr,sor,10.42
tcqmr,mg,10.06
cgs,bjacobi,3.17
cgs,jacobi,5.52
cgs,sor,3.97
cgs,mg,4.38
bcgs,bjacobi,3.05
bcgs,jacobi,5.22
bcgs,sor,3.78
bcgs,mg,4.48
tfqmr,bjacobi,3.25
tfqmr,jacobi,5.96
tfqmr,sor,3.91
tfqmr,mg,4.32
cr,bjacobi,2.07
cr,jacobi,3.35
cr,sor,2.59
cr,mg,2.99
gcr,bjacobi,40.92
gcr,jacobi,43.87
gcr,sor,41.73
gcr,mg,31.36
cg,bjacobi,2.15
cg,jacobi,3.25
cg,sor,2.51
cg,mg,3.10
gmres,bjacobi,26.83
gmres,jacobi,31.58
gmres,sor,46.68
gmres,mg,24.91
fcg,bjacobi,3.24
fcg,jacobi,6.24
fcg,sor,4.00
fcg,mg,3.82
tcqmr,bjacobi,13.92
tcqmr,jacobi,33.53
tcqmr,sor,10.17
tcqmr,mg,9.58
cgs,bjacobi,3.07
cgs,jacobi,5.39
cgs,sor,3.78
cgs,mg,4.18
bcgs,bjacobi,3.04
bcgs,jacobi,4.92
bcgs,sor,3.56
bcgs,mg,4.41
tfqmr,bjacobi,3.13
tfqmr,jacobi,5.75
tfqmr,sor,3.99
tfqmr,mg,4.28
cr,bjacobi,2.02
cr,jacobi,3.26
cr,sor,2.59
cr,mg,3.10
gcr,bjacobi,38.57
gcr,jacobi,42.58
gcr,sor,39.86
gcr,mg,29.33
cg,bjacobi,2.19
cg,jacobi,3.20
cg,sor,2.55
cg,mg,3.09
gmres,bjacobi,27.33
gmres,jacobi,33.30
gmres,sor,46.86
gmres,mg,26.09
fcg,bjacobi,3.32
fcg,jacobi,6.37
fcg,sor,4.00
fcg,mg,3.87
tcqmr,bjacobi,14.01
tcqmr,jacobi,33.46
tcqmr,sor,10.46
tcqmr,mg,9.89
cgs,bjacobi,3.08
cgs,jacobi,5.51
cgs,sor,3.77
cgs,mg,4.44
bcgs,bjacobi,3.03
bcgs,jacobi,5.08
bcgs,sor,3.66
bcgs,mg,4.46
tfqmr,bjacobi,3.18
tfqmr,jacobi,5.80
tfqmr,sor,3.97
tfqmr,mg,4.46
cr,bjacobi,2.04
cr,jacobi,3.24
cr,sor,2.72
cr,mg,3.14
gcr,bjacobi,39.02
gcr,jacobi,42.15
gcr,sor,40.10
gcr,mg,30.20
cg,bjacobi,2.18
cg,jacobi,3.22
cg,sor,2.63
cg,mg,2.99
gmres,bjacobi,28.38
gmres,jacobi,33.26
gmres,sor,49.25
gmres,mg,28.84
fcg,bjacobi,3.38
fcg,jacobi,6.32
fcg,sor,4.10
fcg,mg,3.85
tcqmr,bjacobi,14.46
tcqmr,jacobi,34.66
tcqmr,sor,10.31
tcqmr,mg,9.82
cgs,bjacobi,3.10
cgs,jacobi,5.69
cgs,sor,3.95
cgs,mg,4.28
