ksp_type,pc_type,response
cg,icc,32.65
cg,jacobi,41.62
cg,sor,37.57
cg,mg,44.43
gmres,icc,312.28
gmres,jacobi,214.41
gmres,sor,451.44
gmres,mg,334.40
fcg,icc,42.41
fcg,jacobi,70.62
fcg,sor,48.51
fcg,mg,50.91
tcqmr,icc,101.25
tcqmr,jacobi,218.13
tcqmr,sor,121.15
tcqmr,mg,145.05
cgs,icc,46.51
cgs,jacobi,69.14
cgs,sor,51.55
cgs,mg,61.82
bcgs,icc,42.11
bcgs,jacobi,58.55
bcgs,sor,51.84
bcgs,mg,61.85
tfqmr,icc,45.73
tfqmr,jacobi,67.11
tfqmr,sor,49.94
tfqmr,mg,60.46
cr,icc,30.15
cr,jacobi,39.21
cr,sor,36.76
cr,mg,43.41
gcr,icc,571.84
gcr,jacobi,715.19
gcr,sor,833.66
gcr,mg,420.24
cg,icc,32.57
cg,jacobi,41.94
cg,sor,37.48
cg,mg,44.84
gmres,icc,312.39
gmres,jacobi,214.43
gmres,sor,452.64
gmres,mg,334.89
fcg,icc,42.41
fcg,jacobi,70.70
fcg,sor,48.49
fcg,mg,50.33
tcqmr,icc,101.47
tcqmr,jacobi,218.70
tcqmr,sor,121.10
tcqmr,mg,144.94
cgs,icc,46.52
cgs,jacobi,68.86
cgs,sor,51.60
cgs,mg,61.80
bcgs,icc,42.04
bcgs,jacobi,58.46
bcgs,sor,51.91
bcgs,mg,61.85
tfqmr,icc,45.70
tfqmr,jacobi,66.89
tfqmr,sor,50.57
tfqmr,mg,60.44
cr,icc,30.18
cr,jacobi,39.23
cr,sor,36.76
cr,mg,43.41
gcr,icc,571.07
gcr,jacobi,713.81
gcr,sor,834.03
gcr,mg,419.37
cg,icc,32.62
cg,jacobi,41.57
cg,sor,37.37
cg,mg,44.20
gmres,icc,311.72
gmres,jacobi,216.07
gmres,sor,451.46
gmres,mg,333.91
fcg,icc,42.41
fcg,jacobi,70.77
fcg,sor,48.37
fcg,mg,50.28
tcqmr,icc,101.49
tcqmr,jacobi,218.79
tcqmr,sor,121.11
tcqmr,mg,144.71
cgs,icc,46.69
cgs,jacobi,69.03
cgs,sor,51.48
cgs,mg,62.21
bcgs,icc,42.19
bcgs,jacobi,58.92
bcgs,sor,51.79
bcgs,mg,61.89
tfqmr,icc,45.97
tfqmr,jacobi,66.76
tfqmr,sor,49.74
tfqmr,mg,60.52
cr,icc,30.14
cr,jacobi,39.32
cr,sor,36.77
cr,mg,43.52
gcr,icc,572.21
gcr,jacobi,715.91
gcr,sor,834.07
gcr,mg,419.48
cg,icc,32.64
cg,jacobi,41.89
cg,sor,37.45
cg,mg,44.44
gmres,icc,311.94
gmres,jacobi,214.27
gmres,sor,454.84
gmres,mg,335.40
fcg,icc,42.50
fcg,jacobi,70.76
fcg,sor,48.58
fcg,mg,50.55
tcqmr,icc,101.30
tcqmr,jacobi,219.09
tcqmr,sor,121.16
tcqmr,mg,144.79
cgs,icc,46.73
cgs,jacobi,69.31
cgs,sor,51.69
cgs,mg,61.79
bcgs,icc,42.12
bcgs,jacobi,58.41
bcgs,sor,51.89
bcgs,mg,61.82
tfqmr,icc,45.74
tfqmr,jacobi,66.95
tfqmr,sor,50.28
tfqmr,mg,60.71
cr,icc,30.15
cr,jacobi,39.40
cr,sor,36.70
cr,mg,43.49
gcr,icc,571.33
gcr,jacobi,713.90
gcr,sor,833.94
gcr,mg,419.37
cg,icc,32.68
cg,jacobi,42.09
cg,sor,37.49
cg,mg,44.29
gmres,icc,312.08
gmres,jacobi,215.00
gmres,sor,453.11
gmres,mg,335.75
fcg,icc,42.55
fcg,jacobi,71.57
fcg,sor,48.38
fcg,mg,50.41
tcqmr,icc,101.22
tcqmr,jacobi,218.69
tcqmr,sor,121.71
tcqmr,mg,145.08
cgs,icc,46.75
cgs,jacobi,69.07
cgs,sor,51.49
cgs,mg,61.90
bcgs,icc,42.24
bcgs,jacobi,58.49
bcgs,sor,51.93
bcgs,mg,61.85
tfqmr,icc,45.89
tfqmr,jacobi,66.78
tfqmr,sor,49.82
tfqmr,mg,60.62
cr,icc,30.15
cr,jacobi,39.30
cr,sor,36.85
cr,mg,44.14
gcr,icc,573.12
gcr,jacobi,716.02
gcr,sor,834.86
gcr,mg,420.52
cg,icc,32.64
cg,jacobi,41.58
cg,sor,37.37
cg,mg,44.26
gmres,icc,311.75
gmres,jacobi,214.64
gmres,sor,451.49
gmres,mg,334.95
fcg,icc,42.38
