ksp_type,pc_type,mean,sd,ci
cg,bjacobi,4.49,0.09,0.06
cg,jacobi,7.32,0.11,0.07
cg,sor,5.76,0.12,0.07
cg,mg,6.60,0.17,0.10
gmres,bjacobi,74.87,0.60,0.36
gmres,jacobi,86.28,0.32,0.19
gmres,sor,124.85,0.44,0.26
gmres,mg,66.36,0.27,0.16
fcg,bjacobi,8.05,0.14,0.08
fcg,jacobi,17.05,0.46,0.27
fcg,sor,9.68,0.17,0.10
fcg,mg,8.79,0.19,0.11
tcqmr,bjacobi,21.71,0.29,0.17
tcqmr,jacobi,133.02,0.53,0.31
tcqmr,sor,89.19,0.45,0.27
tcqmr,mg,24.76,0.31,0.18
cgs,bjacobi,7.02,0.15,0.09
cgs,jacobi,13.71,0.13,0.08
cgs,sor,9.53,0.10,0.06
cgs,mg,9.78,0.20,0.12
bcgs,bjacobi,6.44,0.11,0.07
bcgs,jacobi,12.30,0.34,0.20
bcgs,sor,8.59,0.17,0.10
bcgs,mg,10.30,0.26,0.16
tfqmr,bjacobi,7.25,0.07,0.04
tfqmr,jacobi,14.95,0.12,0.07
tfqmr,sor,9.34,0.10,0.06
tfqmr,mg,9.79,0.08,0.05
cr,bjacobi,4.26,0.01,0.01
cr,jacobi,7.73,0.16,0.09
cr,sor,5.93,0.16,0.09
cr,mg,6.66,0.18,0.10
gcr,bjacobi,103.03,0.48,0.28
gcr,jacobi,116.77,0.33,0.19
gcr,sor,104.59,0.39,0.23
gcr,mg,77.92,0.35,0.20
