ksp_type,pc_type,mean,sd,ci
cg,bjacobi,9.92,11.23,5.50
cg,jacobi,21.32,29.06,14.24
cg,sor,13.79,13.85,6.79
cg,mg,10.70,8.41,4.12
gmres,bjacobi,107.20,66.62,32.65
gmres,jacobi,132.95,96.73,47.40
gmres,sor,193.24,118.48,58.06
gmres,mg,88.67,45.40,22.24
fcg,bjacobi,14.57,13.43,6.58
fcg,jacobi,33.42,33.13,16.24
fcg,sor,16.60,14.20,6.96
fcg,mg,13.40,9.38,4.60
tcqmr,bjacobi,38.17,34.00,16.66
tcqmr,jacobi,275.59,263.28,129.01
tcqmr,sor,144.33,114.53,56.12
tcqmr,mg,35.98,23.03,11.28
cgs,bjacobi,12.04,10.28,5.04
cgs,jacobi,31.86,31.34,15.36
cgs,sor,15.52,12.28,6.02
cgs,mg,14.00,8.66,4.24
bcgs,bjacobi,11.43,10.22,5.01
bcgs,jacobi,29.66,29.94,14.67
bcgs,sor,14.71,12.54,6.14
bcgs,mg,15.25,10.00,4.90
tfqmr,bjacobi,12.40,10.62,5.21
tfqmr,jacobi,33.40,31.76,15.56
tfqmr,sor,15.03,11.72,5.74
tfqmr,mg,14.22,9.08,4.45
cr,bjacobi,8.16,7.99,3.92
cr,jacobi,20.73,22.47,11.01
cr,sor,10.47,9.30,4.56
cr,mg,10.00,6.77,3.32
gcr,bjacobi,151.01,99.15,48.58
gcr,jacobi,195.72,136.31,66.79
gcr,sor,150.32,94.48,46.29
gcr,mg,106.31,58.69,28.76
