ksp_type,pc_type,mean,sd,ci
cg,icc,36.50,12.75,6.25
cg,jacobi,46.11,15.10,7.40
cg,sor,42.44,15.85,7.77
cg,mg,54.45,19.53,9.57
gmres,icc,450.12,159.66,78.23
gmres,jacobi,280.00,92.94,45.54
gmres,sor,640.11,239.90,117.55
gmres,mg,503.05,182.72,89.53
fcg,icc,50.87,17.96,8.80
fcg,jacobi,85.99,28.14,13.79
fcg,sor,56.74,19.33,9.47
fcg,mg,66.80,24.33,11.92
tcqmr,icc,137.83,48.74,23.88
tcqmr,jacobi,288.05,95.49,46.79
tcqmr,sor,160.65,57.68,28.26
tcqmr,mg,211.59,75.33,36.91
cgs,icc,56.83,19.71,9.66
cgs,jacobi,83.80,28.86,14.14
cgs,sor,63.96,26.21,12.84
cgs,mg,85.61,31.85,15.61
bcgs,icc,49.95,16.79,8.23
bcgs,jacobi,69.09,23.31,11.42
bcgs,sor,62.61,22.64,11.09
bcgs,mg,84.68,30.30,14.85
tfqmr,icc,56.56,20.53,10.06
tfqmr,jacobi,81.96,30.02,14.71
tfqmr,sor,59.72,21.15,10.36
tfqmr,mg,79.55,25.51,12.50
cr,icc,32.94,11.64,5.70
cr,jacobi,43.75,15.45,7.57
cr,sor,40.16,13.30,6.52
cr,mg,56.19,20.32,9.96
gcr,icc,1108.68,165.49,81.09
gcr,jacobi,1436.50,190.51,93.35
gcr,sor,1573.91,263.05,128.89
gcr,mg,746.53,163.76,80.24
