ksp_type,pc_type,mean,sd,ci
cg,bjacobi,98.70,0.53,0.27
cg,jacobi,41.24,0.33,0.17
cg,sor,123.85,0.37,0.19
cg,mg,134.77,0.52,0.26
gmres,bjacobi,166.36,0.44,0.22
gmres,jacobi,195.09,2.90,1.47
gmres,sor,248.81,1.20,0.61
gmres,mg,188.16,0.55,0.28
fcg,bjacobi,105.28,0.34,0.17
fcg,jacobi,43.31,0.38,0.19
fcg,sor,131.36,0.57,0.29
fcg,mg,138.97,0.58,0.29
tcqmr,bjacobi,362.07,96.83,49.00
tcqmr,jacobi,645.04,454.25,229.88
tcqmr,sor,749.65,928.25,469.76
tcqmr,mg,361.51,0.98,0.50
cgs,bjacobi,39.66,0.33,0.17
cgs,jacobi,344.87,338.68,171.40
cgs,sor,56.87,0.37,0.19
cgs,mg,156.63,0.70,0.36
bcgs,bjacobi,114.23,1.66,0.84
bcgs,jacobi,60.81,3.81,1.93
bcgs,sor,148.06,4.38,2.30
bcgs,mg,168.61,4.33,2.35
tfqmr,bjacobi,116.67,1.24,0.67
tfqmr,jacobi,710.30,311.17,169.15
tfqmr,sor,152.41,3.11,1.69
tfqmr,mg,153.05,0.80,0.44
cr,bjacobi,98.11,0.42,0.23
cr,jacobi,41.54,0.44,0.25
cr,sor,120.83,0.58,0.33
cr,mg,133.69,0.60,0.34
gcr,bjacobi,132.44,0.49,0.28
gcr,jacobi,175.39,0.78,0.46
gcr,sor,188.78,0.73,0.45
gcr,mg,143.98,0.58,0.36
