ksp_type,pc_type,mean,sd,ci
cg,icc,32.66,0.06,0.03
cg,jacobi,41.72,0.16,0.08
cg,sor,37.50,0.14,0.07
cg,mg,44.36,0.19,0.09
gmres,icc,312.08,0.45,0.22
gmres,jacobi,214.60,0.47,0.23
gmres,sor,452.47,0.94,0.46
gmres,mg,335.02,0.93,0.45
fcg,icc,42.45,0.07,0.03
fcg,jacobi,70.76,0.22,0.11
fcg,sor,48.45,0.09,0.04
fcg,mg,50.41,0.16,0.08
tcqmr,icc,101.38,0.13,0.06
tcqmr,jacobi,218.59,0.30,0.15
tcqmr,sor,121.46,0.43,0.21
tcqmr,mg,144.90,0.28,0.13
cgs,icc,46.61,0.10,0.05
cgs,jacobi,69.07,0.18,0.09
cgs,sor,51.59,0.11,0.06
cgs,mg,61.97,0.21,0.10
bcgs,icc,42.14,0.08,0.04
bcgs,jacobi,58.58,0.14,0.07
bcgs,sor,51.96,0.19,0.09
bcgs,mg,61.92,0.15,0.07
tfqmr,icc,45.81,0.11,0.05
tfqmr,jacobi,66.88,0.16,0.08
tfqmr,sor,49.87,0.25,0.12
tfqmr,mg,60.62,0.19,0.10
cr,icc,30.15,0.04,0.02
cr,jacobi,39.33,0.11,0.06
cr,sor,36.79,0.08,0.04
cr,mg,43.54,0.18,0.09
gcr,icc,572.14,1.36,0.67
gcr,jacobi,714.81,1.44,0.70
gcr,sor,835.58,3.95,1.93
gcr,mg,419.61,0.68,0.33
