ksp_type,pc_type,speedup
cg,bjacobi,12.55
cg,jacobi,8.58
cg,sor,10.59
cg,mg,8.95
gmres,bjacobi,1.00
gmres,jacobi,0.85
gmres,sor,0.58
gmres,mg,1.06
fcg,bjacobi,8.17
fcg,jacobi,4.27
fcg,sor,6.83
fcg,mg,7.12
tcqmr,bjacobi,1.93
tcqmr,jacobi,0.80
tcqmr,sor,2.68
tcqmr,mg,2.82
cgs,bjacobi,8.86
cgs,jacobi,4.95
cgs,sor,7.15
cgs,mg,6.35
bcgs,bjacobi,8.92
bcgs,jacobi,5.42
bcgs,sor,7.43
bcgs,mg,6.11
tfqmr,bjacobi,8.66
tfqmr,jacobi,4.64
tfqmr,sor,6.92
tfqmr,mg,6.32
cr,bjacobi,13.22
cr,jacobi,8.32
cr,sor,10.23
cr,mg,8.86
gcr,bjacobi,0.70
gcr,jacobi,0.64
gcr,sor,0.67
gcr,mg,0.91
