ksp_type,pc_type,speedup
cg,icc,9.56
cg,jacobi,7.48
cg,sor,8.32
cg,mg,7.04
gmres,icc,1.00
gmres,jacobi,1.45
gmres,sor,0.69
gmres,mg,0.93
fcg,icc,7.35
fcg,jacobi,4.41
fcg,sor,6.44
fcg,mg,6.19
tcqmr,icc,3.08
tcqmr,jacobi,1.43
tcqmr,sor,2.57
tcqmr,mg,2.15
cgs,icc,6.70
cgs,jacobi,4.52
cgs,sor,6.05
cgs,mg,5.04
bcgs,icc,7.41
bcgs,jacobi,5.33
bcgs,sor,6.01
bcgs,mg,5.04
tfqmr,icc,6.81
tfqmr,jacobi,4.67
tfqmr,sor,6.26
tfqmr,mg,5.15
cr,icc,10.35
cr,jacobi,7.93
cr,sor,8.48
cr,mg,7.17
gcr,icc,0.55
gcr,jacobi,0.44
gcr,sor,0.37
gcr,mg,0.74
