ksp_type,pc_type,speedup
cg,icc,12.33
cg,jacobi,9.76
cg,sor,10.61
cg,mg,8.27
gmres,icc,1.00
gmres,jacobi,1.61
gmres,sor,0.70
gmres,mg,0.89
fcg,icc,8.85
fcg,jacobi,5.23
fcg,sor,7.93
fcg,mg,6.74
tcqmr,icc,3.27
tcqmr,jacobi,1.56
tcqmr,sor,2.80
tcqmr,mg,2.13
cgs,icc,7.92
cgs,jacobi,5.37
cgs,sor,7.04
cgs,mg,5.26
bcgs,icc,9.01
bcgs,jacobi,6.51
bcgs,sor,7.19
bcgs,mg,5.32
tfqmr,icc,7.96
tfqmr,jacobi,5.49
tfqmr,sor,7.54
tfqmr,mg,5.66
cr,icc,13.66
cr,jacobi,10.29
cr,sor,11.21
cr,mg,8.01
gcr,icc,0.41
gcr,jacobi,0.31
gcr,sor,0.29
gcr,mg,0.60
