ksp_type,pc_type,speedup
cg,bjacobi,10.81
cg,jacobi,5.03
cg,sor,7.77
cg,mg,10.02
gmres,bjacobi,1.00
gmres,jacobi,0.81
gmres,sor,0.55
gmres,mg,1.21
fcg,bjacobi,7.36
fcg,jacobi,3.21
fcg,sor,6.46
fcg,mg,8.00
tcqmr,bjacobi,2.81
tcqmr,jacobi,0.39
tcqmr,sor,0.74
tcqmr,mg,2.98
cgs,bjacobi,8.90
cgs,jacobi,3.36
cgs,sor,6.91
cgs,mg,7.66
bcgs,bjacobi,9.38
bcgs,jacobi,3.61
bcgs,sor,7.29
bcgs,mg,7.03
tfqmr,bjacobi,8.65
tfqmr,jacobi,3.21
tfqmr,sor,7.13
tfqmr,mg,7.54
cr,bjacobi,13.14
cr,jacobi,5.17
cr,sor,10.24
cr,mg,10.72
gcr,bjacobi,0.71
gcr,jacobi,0.55
gcr,sor,0.71
gcr,mg,1.01
