ksp_type,pc_type,speedup
cg,bjacobi,1.08
cg,jacobi,1.24
cg,sor,1.03
cg,mg,1.00
gmres,bjacobi,1.00
gmres,jacobi,1.08
gmres,sor,0.94
gmres,mg,0.94
fcg,bjacobi,1.04
fcg,jacobi,1.25
fcg,sor,0.93
fcg,mg,0.98
tcqmr,bjacobi,0.78
tcqmr,jacobi,0.42
tcqmr,sor,0.71
tcqmr,mg,0.71
cgs,bjacobi,1.00
cgs,jacobi,1.20
cgs,sor,1.22
cgs,mg,0.94
bcgs,bjacobi,1.01
bcgs,jacobi,1.16
bcgs,sor,0.99
bcgs,mg,0.91
tfqmr,bjacobi,1.00
tfqmr,jacobi,1.20
tfqmr,sor,0.97
tfqmr,mg,0.93
cr,bjacobi,1.08
cr,jacobi,1.24
cr,sor,1.04
cr,mg,0.99
gcr,bjacobi,1.04
gcr,jacobi,1.07
gcr,sor,0.99
gcr,mg,1.01
